ÈÕÆÚ,ÖÐ¼ä¼Û,³®Âò¼Û,»ãÂò¼Û,³®/»ãÂô¼Û,ÕÇµø¶î,ÕÇµø·ù
1997-12-31,6.3654,6.2063,6.3527,6.3781,0.0000,0.0000%
1997-12-30,6.3654,6.2063,6.3527,6.3781,0.0185,0.2915%
1997-12-29,6.3469,6.2323,6.3793,6.4049,0.0141,0.2227%
1997-12-26,6.3328,6.2071,6.3535,6.3790,0.0000,0.0000%
1997-12-25,6.3328,6.2071,6.3535,6.3790,-0.0275,-0.4324%
1997-12-24,6.3603,6.2169,6.3635,6.3890,0.0362,0.5724%
1997-12-23,6.3241,6.2316,6.3786,6.4041,-0.0868,-1.3539%
1997-12-22,6.4109,6.1994,6.3456,6.3710,-0.0717,-1.1060%
1997-12-19,6.4826,6.2768,6.4248,6.4506,0.0000,0.0000%
1997-12-18,6.4826,6.2768,6.4248,6.4506,0.0803,1.2542%
1997-12-17,6.4023,6.3473,6.4970,6.5230,0.0950,1.5062%
1997-12-16,6.3073,6.1710,6.3166,6.3419,-0.0194,-0.3066%
1997-12-15,6.3267,6.1685,6.3140,6.3394,-0.0844,-1.3165%
1997-12-12,6.4111,6.2214,6.3682,6.3937,0.0000,0.0000%
1997-12-11,6.4111,6.2214,6.3682,6.3937,0.0248,0.3883%
1997-12-10,6.3863,6.2371,6.3842,6.4098,0.0339,0.5337%
1997-12-09,6.3524,6.2222,6.3690,6.3945,-0.0235,-0.3686%
1997-12-08,6.3759,6.1827,6.3285,6.3539,-0.0461,-0.7178%
1997-12-05,6.4220,6.2373,6.3845,6.4101,0.0000,0.0000%
1997-12-04,6.4220,6.2373,6.3845,6.4101,-0.0089,-0.1384%
1997-12-03,6.4309,6.2701,6.4180,6.4438,-0.0020,-0.0311%
1997-12-02,6.4329,6.2701,6.4180,6.4438,-0.0487,-0.7514%
1997-12-01,6.4816,6.2773,6.4254,6.4511,-0.0203,-0.3122%
1997-11-28,6.5019,6.3605,6.5106,6.5367,0.0000,0.0000%
1997-11-27,6.5019,6.3605,6.5106,6.5367,0.0151,0.2328%
1997-11-26,6.4868,6.3485,6.4983,6.5243,-0.0136,-0.2092%
1997-11-25,6.5004,6.3379,6.4874,6.5134,-0.0232,-0.3556%
1997-11-24,6.5236,6.3605,6.5106,6.5367,-0.0184,-0.2813%
1997-11-21,6.5420,6.4092,6.5603,6.5866,0.0000,0.0000%
1997-11-20,6.5420,6.4092,6.5603,6.5866,-0.0022,-0.0336%
1997-11-19,6.5442,6.3592,6.5092,6.5353,-0.0334,-0.5078%
1997-11-18,6.5776,6.4006,6.5516,6.5778,-0.0567,-0.8546%
1997-11-17,6.6343,6.4200,6.5715,6.5978,0.0630,0.9587%
1997-11-14,6.5713,6.4190,6.5704,6.5967,0.0000,0.0000%
1997-11-13,6.5713,6.4190,6.5704,6.5967,-0.0666,-1.0033%
1997-11-12,6.6379,6.3812,6.5317,6.5579,0.0051,0.0769%
1997-11-11,6.6328,6.4669,6.6195,6.6460,-0.0517,-0.7734%
1997-11-10,6.6845,6.4919,6.6450,6.6716,-0.0423,-0.6288%
1997-11-07,6.7268,6.5477,6.7022,6.7290,0.0000,0.0000%
1997-11-06,6.7268,6.5477,6.7022,6.7290,-0.0561,-0.8271%
1997-11-05,6.7829,6.5596,6.7143,6.7412,-0.0420,-0.6154%
1997-11-04,6.8249,6.6288,6.7852,6.8124,-0.0540,-0.7850%
1997-11-03,6.8789,6.6525,6.8095,6.8367,0.0053,0.0771%
1997-10-31,6.8736,6.7318,6.8906,6.9182,0.0000,0.0000%
1997-10-30,6.8736,6.7318,6.8906,6.9182,0.0124,0.1807%
1997-10-29,6.8612,6.6897,6.8475,6.8749,0.0016,0.0233%
1997-10-28,6.8596,6.6881,6.8459,6.8733,0.0890,1.3145%
1997-10-27,6.7706,6.6224,6.7786,6.8058,-0.0743,-1.0855%
1997-10-24,6.8449,6.6296,6.7860,6.8132,0.0000,0.0000%
1997-10-23,6.8449,6.6296,6.7860,6.8132,-0.0051,-0.0745%
1997-10-22,6.8500,6.6787,6.8363,6.8637,-0.0072,-0.1050%
1997-10-21,6.8572,6.6858,6.8435,6.8710,0.0218,0.3189%
1997-10-20,6.8354,6.6645,6.8217,6.8491,-0.0224,-0.3266%
1997-10-17,6.8578,6.7340,6.8929,6.9205,0.0000,0.0000%
1997-10-16,6.8578,6.7340,6.8929,6.9205,0.0317,0.4644%
1997-10-15,6.8261,6.6709,6.8283,6.8556,0.0031,0.0454%
1997-10-14,6.8230,6.6525,6.8094,6.8367,-0.0609,-0.8847%
1997-10-13,6.8839,6.6719,6.8293,6.8567,0.0635,0.9310%
1997-10-10,6.8204,6.6601,6.8172,6.8445,0.0000,0.0000%
1997-10-09,6.8204,6.6601,6.8172,6.8445,0.0440,0.6493%
1997-10-08,6.7764,6.6602,6.8173,6.8447,-0.0527,-0.7717%
1997-09-30,6.8291,6.6830,6.8406,6.8681,0.0000,0.0000%
1997-09-29,6.8291,6.6830,6.8406,6.8681,-0.0461,-0.6705%
1997-09-26,6.8752,6.6690,6.8264,6.8537,0.0000,0.0000%
1997-09-25,6.8752,6.6690,6.8264,6.8537,-0.0081,-0.1177%
